user_id, server_time, user_time, action_id, chat_version, category, action, label, value
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924620136,1515924618851,action-5a145e0bdb78a5-22477229,280,EKPT-Cridito Consolidado-100 Criditos V.280,CHAT_TRANSITION,action-5a145e0bdb78b7-20944640,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924628131,1515924626858,action-5a145e0bdb78b7-20944640,280,EKPT-Cridito Consolidado-100 Criditos V.280,016 - Perguntar: Lista de Opgues,employed,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924628136,1515924626861,action-5a145e0bdb78b7-20944640,280,EKPT-Cridito Consolidado-100 Criditos V.280,CHAT_TRANSITION,action-5a145e0bdb78c5-31910155,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924628153,1515924626883,action-5a145e0bdb78c5-31910155,280,EKPT-Cridito Consolidado-100 Criditos V.280,CHAT_TRANSITION,action-5a145e0bdb78d2-33626630,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924636950,1515924635682,action-5a145e0bdb78d2-33626630,280,EKPT-Cridito Consolidado-100 Criditos V.280,018 - Perguntar: Lista de Opgues,open-ended,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924636960,1515924635686,action-5a145e0bdb78d2-33626630,280,EKPT-Cridito Consolidado-100 Criditos V.280,CHAT_TRANSITION,action-5a145e0bdb78f2-29821441,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924649311,1515924648040,action-5a145e0bdb78f2-29821441,280,EKPT-Cridito Consolidado-100 Criditos V.280,019 - Perguntar: Slider,950,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924649319,1515924648043,action-5a145e0bdb78f2-29821441,280,EKPT-Cridito Consolidado-100 Criditos V.280,CHAT_TRANSITION,1515425835019-kskj-n2d5-cvig,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924649325,1515924648050,1515425835019-kskj-n2d5-cvig,280,EKPT-Cridito Consolidado-100 Criditos V.280,CHAT_TRANSITION,action-5a145e0bdb7900-56529572,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924653941,1515924652674,action-5a145e0bdb7900-56529572,280,EKPT-Cridito Consolidado-100 Criditos V.280,021 - Perguntar: Lista de Opgues,divorced,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924653947,1515924652677,action-5a145e0bdb7900-56529572,280,EKPT-Cridito Consolidado-100 Criditos V.280,CHAT_TRANSITION,1515425846844-f4lj-sv3y-9j47,
f0cd1817-ea60-49a9-a1d9-3870f333c8bb,1515924653954,1515924652686,1515425846844-f4lj-sv3y-9j47,280,EKPT-Cridito Consolidado-100 Criditos V.280,CHAT_TRANSITION,action-5a145e0bdb7916-81830554,
