,Pattern,Relative SUP,global_dropout_interest,global_dropout_criterion
651,"[3, 5, 8]",0.451063829787234,0.09719426743679835,0.04384081850340691
1157,"[5, 6, 9]",0.451063829787234,0.09719426743679835,0.04384081850340691
154,"[1, 9]",0.451063829787234,0.0941781346334315,0.042480350089973355
76,"[1, 5, 9]",0.451063829787234,0.0941781346334315,0.042480350089973355
135,"[1, 8]",0.451063829787234,0.0941781346334315,0.042480350089973355
96,"[1, 6, 8]",0.451063829787234,0.0941781346334315,0.042480350089973355
97,"[1, 6, 9]",0.451063829787234,0.0941781346334315,0.042480350089973355
136,"[1, 8, 9]",0.451063829787234,0.0941781346334315,0.042480350089973355
75,"[1, 5, 8]",0.451063829787234,0.0941781346334315,0.042480350089973355
30,"[1, 3, 8]",0.451063829787234,0.0941781346334315,0.042480350089973355
31,"[1, 3, 9]",0.451063829787234,0.0941781346334315,0.042480350089973355
835,"[3, 21]",0.2028368794326241,-0.18402451378198287,0.03732695811464333
327,"[2, 3, 5]",0.5163120567375886,0.06263154832472301,0.03233742353219741
3,"[1, 2, 5]",0.5163120567375886,0.06263154832472301,0.03233742353219741
372,"[2, 5]",0.5163120567375886,0.06263154832472301,0.03233742353219741
328,"[2, 3, 6]",0.5134751773049645,0.06263154832472301,0.032159745380921596
373,"[2, 5, 6]",0.5134751773049645,0.06263154832472301,0.032159745380921596
4,"[1, 2, 6]",0.5134751773049645,0.06263154832472301,0.032159745380921596
394,"[2, 6]",0.5134751773049645,0.06263154832472301,0.032159745380921596
2043,"[9, 21]",0.2028368794326241,-0.15831751637687225,0.032112630981408125
737,"[3, 9, 21]",0.2028368794326241,-0.15831751637687225,0.032112630981408125
396,"[2, 6, 8]",0.451063829787234,0.06263154832472301,0.02825082605285378
397,"[2, 6, 9]",0.451063829787234,0.06263154832472301,0.02825082605285378
331,"[2, 3, 9]",0.451063829787234,0.06263154832472301,0.02825082605285378
330,"[2, 3, 8]",0.451063829787234,0.06263154832472301,0.02825082605285378
375,"[2, 5, 8]",0.451063829787234,0.06263154832472301,0.02825082605285378
6,"[1, 2, 8]",0.451063829787234,0.06263154832472301,0.02825082605285378
