,Pattern,Relative SUP,local_interest_16,local_criterion_16,local_interest_20,local_criterion_20,local_interest_22,local_criterion_22,local_interest_27,local_criterion_27
1924,"[8, 24, 28]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1925,"[8, 24, 29]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1926,"[8, 24, 30]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1927,"[8, 24, 31]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1928,"[8, 25]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1929,"[8, 25, 26]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1930,"[8, 25, 27]",0.2672955974842767,0,0,0,0,0,0,0.7327044025157232,0.19584866104980023
1931,"[8, 25, 28]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1932,"[8, 25, 29]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1933,"[8, 25, 30]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1934,"[8, 25, 31]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1935,"[8, 26]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1936,"[8, 26, 27]",0.2672955974842767,0,0,0,0,0,0,0.7327044025157232,0.19584866104980023
1937,"[8, 26, 28]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1938,"[8, 26, 29]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1939,"[8, 26, 30]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1940,"[8, 26, 31]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1964,"[9, 10, 23]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1966,"[9, 10, 25]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
2011,"[9, 13, 25]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1989,"[9, 12]",0.6069182389937107,0,0,0,0,0,0,0.1714799127198049,0.10407428665069919
1991,"[9, 12, 19]",0.5094339622641509,0,0,0,0,0,0,0.25739576054041463,0.13112614216209803
1992,"[9, 12, 20]",0.4528301886792453,0,0,0,0,0,0,0.32298218029350106,0.1462560816423401
1993,"[9, 12, 21]",0.449685534591195,0,0,0,0,0,0,0.32710999692131765,0.14709663383568686
1994,"[9, 12, 22]",0.32075471698113206,0,0,0,0,0,0,0.5583924759102186,0.17910702057497577
1995,"[9, 12, 23]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1996,"[9, 12, 24]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1997,"[9, 12, 25]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1998,"[9, 12, 26]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1999,"[9, 12, 27]",0.2672955974842767,0,0,0,0,0,0,0.7327044025157232,0.19584866104980023
2000,"[9, 12, 28]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
2001,"[9, 12, 29]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
2002,"[9, 12, 30]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
2003,"[9, 12, 31]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
2004,"[9, 13]",0.5691823899371069,0,0,0,0,0,0,0.20231766218423158,0.11515565048850916
2005,"[9, 13, 19]",0.5094339622641509,0,0,0,0,0,0,0.25739576054041463,0.13112614216209803
2006,"[9, 13, 20]",0.4528301886792453,0,0,0,0,0,0,0.32298218029350106,0.1462560816423401
2007,"[9, 13, 21]",0.449685534591195,0,0,0,0,0,0,0.32710999692131765,0.14709663383568686
2008,"[9, 13, 22]",0.32075471698113206,0,0,0,0,0,0,0.5583924759102186,0.17910702057497577
2009,"[9, 13, 23]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1990,"[9, 12, 13]",0.5691823899371069,0,0,0,0,0,0,0.20231766218423158,0.11515565048850916
1988,"[9, 11, 31]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
1967,"[9, 10, 26]",0.3050314465408805,0,0,0,0,0,0,0.6089930623095376,0.18576203472963884
1987,"[9, 11, 30]",0.22955974842767296,0,0,0,0,0,0,0.7327044025157232,0.16819943831335785
