,Pattern,Relative SUP,local_dropout_interest,local_dropout_criterion
6,"[1, 2, 3, 4, 5, 6, 7, 8]",0.561744966442953,-0.06213845619799776,0.03490596499176116
87,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38, 39]",0.15268456375838926,0.228040261906367,0.03481822790852248
105,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.3802013422818792,0.08739477021360052,0.033227608943627314
106,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]",0.3802013422818792,0.08679396418877511,0.03299918168653765
104,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.3812080536912752,0.08587523603487739,0.03273633158913447
103,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",0.3825503355704698,0.08430223973001279,0.032249850098058586
7,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.5573825503355705,-0.05742293055117504,0.03200653947835629
444,"[21, 22, 28, 29]",0.35906040268456374,-0.08475683830021044,0.030432824490344016
107,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.3674496644295302,0.08068540446655875,0.02964782479559793
8,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5466442953020134,-0.05422200865444997,0.029640151710771476
88,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38, 39, 40]",0.12919463087248323,0.228768905694063,0.029555714326246395
468,"[28, 29, 31]",0.351006711409396,0.083717433532064,0.02938538103172448
110,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31]",0.29765100671140937,0.09497910905723728,0.028270627427439417
491,"[31, 35]",0.30134228187919465,0.09015639374425023,0.027167933416891516
9,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.5325503355704698,-0.05083637040144882,0.027072926116476267
89,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38, 39, 40, 41]",0.11812080536912752,0.22916141673547513,0.02706873110432458
109,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29]",0.30906040268456375,0.0855962045094071,0.02645439743394763
108,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 28]",0.32114093959731543,0.08174055780653768,0.026250239537200185
429,"[20, 21, 22]",0.4332214765100671,-0.05870101430431137,0.02543054008955234
10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.5218120805369127,-0.04824508125787754,0.025174866226845494
455,"[22, 28]",0.37214765100671143,-0.06552857089973661,0.024386303734163728
33,"[2, 3, 4, 5]",0.6087248322147651,-0.03892695927891911,0.023695806755691027
478,"[29, 31]",0.36476510067114093,0.06465548299743784,0.023584063764501655
480,"[29, 31, 35]",0.30134228187919465,0.07710486966070841,0.023234957367555757
12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5077181208053692,-0.04522809266781895,0.022963122216916133
442,"[21, 22]",0.4332214765100671,-0.05292446615003955,0.022928015369027197
11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5097315436241611,-0.04472756012127651,0.022799048263160742
90,"[4, 5]",0.6110738255033556,0.036358875450369005,0.02221795711245703
308,"[13, 14, 15, 16]",0.5016778523489933,0.043323146981176466,0.021734263334516384
371,"[16, 17, 18, 19, 20, 21, 22, 28, 29, 31]",0.31073825503355706,0.06910180806850272,0.021472575258870308
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.4791946308724832,-0.04431510004641743,0.02123555800882016
366,"[16, 17, 18, 19, 20]",0.3976510067114094,0.0532967686913603,0.02119351372458455
367,"[16, 17, 18, 19, 20, 21]",0.3976510067114094,0.051200848590597925,0.02036006898652971
13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.4812080536912752,-0.04221288648996435,0.02031318094852647
443,"[21, 22, 28]",0.37214765100671143,-0.05208845043295579,0.01938459447320402
112,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36]",0.20067114093959731,0.09624439312722281,0.01931347217787894
347,"[15, 16, 17, 18]",0.3996644295302013,0.04821816913222807,0.019271087059222692
15,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",0.44161073825503355,-0.043529360243576884,0.019223032912935294
111,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35]",0.20067114093959731,0.09570642244923439,0.019205516988134955
345,"[15, 16]",0.5043624161073825,0.03792415169660679,0.01912751677852349
365,"[16, 17, 18, 19]",0.39865771812080536,0.047658885015896976,0.018999582348619332
346,"[15, 16, 17]",0.4657718120805369,0.040246361129433,0.018745620552903693
415,"[19, 20, 21, 22]",0.4332214765100671,-0.04234790837924023,0.018346023395167495
492,"[31, 35, 36]",0.30134228187919465,0.059074396378762085,0.0178016134054122
43,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.4815436241610738,0.03667858742617232,0.01766233991830781
113,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37]",0.17919463087248322,0.09681682713575197,0.01734905560083609
481,"[29, 31, 35, 36]",0.30134228187919465,0.057056252657477755,0.01719346137128021
41,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5100671140939598,0.033451823295941714,0.017062674969742085
42,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5080536912751678,0.03319950337480163,0.01686713023807036
328,"[14, 15, 16, 17]",0.46375838926174495,0.036213092752160475,0.01679412556492811
327,"[14, 15, 16]",0.5016778523489933,0.03332053033785217,0.016716172099023152
44,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.47953020134228186,0.034637240044479344,0.016609602692470127
114,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38]",0.16879194630872482,0.09701612529241893,0.016375540611438498
49,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]",0.3785234899328859,0.042852778785733306,0.016220783379297707
48,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.3785234899328859,0.04264610268037381,0.016142551618611296
45,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",0.4419463087248322,0.03565673483519083,0.015758362341592724
16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",0.38053691275167784,-0.04131743524407819,0.01572280925059888
364,"[16, 17, 18]",0.4,0.03900812437856623,0.015603249751426494
53,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31]",0.2959731543624161,0.05271258631913402,0.015601510447475236
370,"[16, 17, 18, 19, 20, 21, 22, 28, 29]",0.32281879194630875,0.04831744331147923,0.015597778679745981
47,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.3795302013422819,0.0404649594907284,0.015357674222823428
20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.36543624161073823,-0.041911546080530264,0.015315997879764247
40,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.5221476510067115,0.02927568235812486,0.01528622877491352
445,"[21, 22, 28, 29, 31]",0.3422818791946309,0.04418559935885906,0.015123929981891356
