,Pattern,Relative SUP,global_interest_17,global_criterion_17,global_interest_28,global_criterion_28,global_interest_77,global_criterion_77,global_interest_81,global_criterion_81,global_interest_78,global_criterion_78
70,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5110738255033557,0.40519924909772753,0.20708673032746275,0.32778668911147646,0.16752319715328143,0.2272310038029851,0.11613181838655916,0.20674335799618382,0.10566111886851944,0.2198764360344957,0.1123730913021936
42,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5080536912751678,0.4070762370005232,0.20681658483852083,0.32996595533410766,0.1676404216026305,0.22811832294557288,0.1158963560199991,0.207365262028672,0.10535268681590919,0.22066617609248806,0.11211026530336474
12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5077181208053692,0.4069924191681046,0.20663742624206116,0.3297690707381662,0.16742973289491458,0.22843787843166824,0.11598205035809196,0.20765513203245245,0.10543027341110757,0.22097481779832057,0.11219291923787215
41,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5100671140939598,0.40494524902861173,0.20654925453808384,0.3278523489932885,0.1672267014999324,0.22686771458848454,0.11571776046124044,0.20629194630872483,0.10522273771451737,0.2194807488519957,0.11194991216611862
11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5097315436241611,0.4048603593851483,0.20637009594162425,0.32765485063910826,0.1670160127922166,0.22718518453062103,0.11580345479933334,0.2065799647419046,0.1053003243097158,0.21978739103348638,0.1120325661006261
123,"[5, 6, 7, 8, 9, 10, 11]",0.5436241610738255,0.376485210042257,0.20466645646592493,0.30254370701797995,0.1644700689158146,0.21006297124865358,0.11419530651772443,0.19039688458032977,0.10350434665105175,0.20245670726655068,0.11006035764154769
97,"[4, 5, 6, 7, 8, 9, 10, 11, 12]",0.5241610738255034,0.3885661129682303,0.20367123102562945,0.3147921697359263,0.16500180172064324,0.21838247299538532,0.11446759154993016,0.1990096159630142,0.10431309400477455,0.2114377540410246,0.11082744020539612
69,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.5231543624161074,0.3882864596562071,0.20313375523625063,0.31418974475980554,0.16436973559749557,0.21865268133504961,0.11438910409441018,0.1991960515043631,0.10421028332057115,0.21167716355777882,0.11073983153911986
40,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.5221476510067115,0.38800572798951005,0.2025962794468717,0.3142276703300494,0.1640732399441466,0.2182812580873345,0.11397504616909145,0.1987405324269767,0.10377190216656905,0.2112748227256258,0.11031665240304489
10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.5218120805369127,0.38791191005416603,0.20241712085041214,0.3140259824338031,0.16386255123643081,0.21858585640605105,0.11406074050718436,0.19901702669457688,0.10384948876176747,0.21156908867260837,0.11039930633755235
220,"[9, 10]",0.5677852348993289,0.35481460326526726,0.20145849286068196,0.28328970123915154,0.16084770956263236,0.19439446586383613,0.11037430746362777,0.1760023481999778,0.09993153461555786,0.18749742173988926,0.10645826764560155
197,"[8, 9, 10]",0.5671140939597316,0.3546026766212621,0.20110017566776275,0.2828819347921051,0.16042633214720056,0.1943350144950558,0.11021012567001487,0.17648425400103251,0.10008670780595469,0.18741908581867278,0.1062880050448178
148,"[6, 7, 8, 9, 10]",0.5667785234899329,0.3544965250873199,0.2009210170713031,0.2826776894314177,0.16021564343948472,0.1946012691676502,0.11029582000810777,0.17672563488184506,0.10016429440115311,0.18767588144368813,0.10637065897932525
173,"[7, 8, 9, 10]",0.5667785234899329,0.3544965250873199,0.2009210170713031,0.2826776894314177,0.16021564343948472,0.1946012691676502,0.11029582000810777,0.17672563488184506,0.10016429440115311,0.18767588144368813,0.10637065897932525
96,"[4, 5, 6, 7, 8, 9, 10, 11]",0.5348993288590604,0.3745450641246958,0.20034390342777353,0.30288371662189584,0.16201229674338993,0.21012648101521642,0.11239651367055536,0.19100022736267708,0.10216589342822392,0.20287571682399602,0.10851808477095627
68,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",0.5338926174496644,0.37424459733652804,0.19980642763839468,0.30227095364445145,0.16138023062024237,0.21037568706524534,0.11231802621503535,0.19116781054505416,0.10206308274402053,0.2030941664311416,0.10843047610467996
39,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.5328859060402684,0.3739429952834177,0.19926895184901586,0.3022855983635656,0.16108373496689335,0.20999611177793182,0.11190396828971667,0.19070630399134453,0.10162470159001849,0.20268371849272226,0.10800729696860502
9,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.5325503355704698,0.37384220787184463,0.19908979325255619,0.302080452332923,0.16087304625917748,0.21028934759349238,0.11198966262780954,0.19097216054943056,0.10170228818521689,0.2029666374866258,0.10808995090311246
455,"[22, 28]",0.37214765100671143,0.5338926174496644,0.1986868834737174,0.0,0.0,0.4209721213838371,0.15666378611230716,0.38180865695076527,0.1420891948182546,0.40628582222143517,0.15119831437703746
416,"[19, 20, 21, 22, 28]",0.37214765100671143,0.5338926174496644,0.1986868834737174,0.0,0.0,0.4209721213838371,0.15666378611230716,0.38180865695076527,0.1420891948182546,0.40628582222143517,0.15119831437703746
443,"[21, 22, 28]",0.37214765100671143,0.5338926174496644,0.1986868834737174,0.0,0.0,0.4209721213838371,0.15666378611230716,0.38180865695076527,0.1420891948182546,0.40628582222143517,0.15119831437703746
401,"[18, 19, 20, 21, 22, 28]",0.37214765100671143,0.5338926174496644,0.1986868834737174,0.0,0.0,0.4209721213838371,0.15666378611230716,0.38180865695076527,0.1420891948182546,0.40628582222143517,0.15119831437703746
430,"[20, 21, 22, 28]",0.37214765100671143,0.5338926174496644,0.1986868834737174,0.0,0.0,0.4209721213838371,0.15666378611230716,0.38180865695076527,0.1420891948182546,0.40628582222143517,0.15119831437703746
122,"[5, 6, 7, 8, 9, 10]",0.5580536912751678,0.3552997130600072,0.19827631638214496,0.2856996129740462,0.15943572361605332,0.19862966983740066,0.11084602044952929,0.18009681702429908,0.10050369352731858,0.19145435394108645,0.10684180892752576
467,"[28, 29]",0.36845637583892615,0.5338926174496644,0.19671613891266157,0.0,0.0,0.42757936271412744,0.15754434236916506,0.38779727490552773,0.1428863784719025,0.4126610797859025,0.1520476059076916
196,"[8, 9]",0.5791946308724832,0.3386434865110781,0.19614048916715465,0.27037842083569874,0.15660172965181746,0.1855346963534416,0.10746069996846988,0.16798082232262979,0.09729359037881175,0.17895199359188718,0.10364803387234808
172,"[7, 8, 9]",0.5788590604026845,0.3385302986090848,0.19596133057069504,0.2701711895729987,0.15639104094410158,0.18579029277307657,0.10754639430656278,0.16821223616379732,0.0973711769740102,0.17919852154459687,0.10373068780685557
147,"[6, 7, 8, 9]",0.5788590604026845,0.3385302986090848,0.19596133057069504,0.2701711895729987,0.15639104094410158,0.18579029277307657,0.10754639430656278,0.16821223616379732,0.0973711769740102,0.17919852154459687,0.10373068780685557
