,Pattern,Relative SUP,local_dropout_interest,local_dropout_criterion
926,"[4, 6, 9]",0.451063829787234,0.14706816593609046,0.06633713016691739
905,"[4, 5, 9]",0.451063829787234,0.14523666410458863,0.06551100593653784
30,"[1, 3, 8]",0.451063829787234,-0.13944890129054763,0.06290035547573637
651,"[3, 5, 8]",0.451063829787234,-0.13844352368942534,0.06244686600459185
782,"[3, 12, 13]",0.25673758865248225,0.24144893135790466,0.06198901641954715
633,"[3, 4, 12]",0.27375886524822696,0.22556262817878378,0.06174976913263159
672,"[3, 6, 8]",0.451063829787234,-0.1366120218579235,0.061620741774212305
634,"[3, 4, 13]",0.25673758865248225,0.235238293022914,0.06039451210942898
354,"[2, 4, 9]",0.451063829787234,0.13371575773389685,0.06031434178635347
1387,"[6, 7, 9]",0.451063829787234,0.13348853909679512,0.06021185167770333
1177,"[5, 7, 9]",0.451063829787234,0.1316570372652933,0.05938572744732378
1424,"[6, 9]",0.451063829787234,0.13050314465408805,0.05886524822695035
1785,"[8, 9]",0.451063829787234,-0.13050314465408805,0.05886524822695035
696,"[3, 7, 12]",0.27375886524822696,0.21198300133948844,0.05803222589861173
327,"[2, 3, 5]",0.5163120567375886,-0.11173870728503811,0.057692041775537405
1214,"[5, 9]",0.451063829787234,0.1277558919068353,0.05762606188138103
1596,"[7, 8, 9]",0.451063829787234,-0.12751775021138098,0.05751864477619738
154,"[1, 9]",0.451063829787234,-0.12624782550515187,0.056945827674664246
697,"[3, 7, 13]",0.25673758865248225,0.22165866618361862,0.056908111459907755
328,"[2, 3, 6]",0.5134751773049645,-0.10990720545353629,0.05643462180734771
748,"[3, 10]",0.3333333333333333,-0.16662016044645972,0.05554005348215324
679,"[3, 6, 20]",0.20425531914893616,0.2709092289010322,0.05533465100957253
658,"[3, 5, 20]",0.20425531914893616,0.26907772706953037,0.054960557018457264
117,"[1, 7, 9]",0.451063829787234,-0.12184399134613276,0.054959417373149244
417,"[2, 7, 9]",0.451063829787234,0.12013613089460148,0.05418906329713939
713,"[3, 8, 10]",0.3333333333333333,-0.1621439367515405,0.05404797891718017
714,"[3, 8, 11]",0.3078014184397163,-0.1734783813049281,0.05339689183428283
798,"[3, 13, 20]",0.20425531914893616,0.25985950514412615,0.053077686157098104
32,"[1, 3, 10]",0.3333333333333333,-0.15647017788629228,0.052156725962097424
965,"[4, 8, 9]",0.451063829787234,-0.11393812337208564,0.05139336628698331
