,Pattern,Relative SUP,local_interest_17,local_criterion_17,local_interest_28,local_criterion_28,local_interest_77,local_criterion_77,local_interest_81,local_criterion_81,local_interest_78,local_criterion_78
359,"[15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38]",0.3532934131736527,0,0,0,0,0,0,0,0,0.27494613220043074,0.09713665748398452
361,"[15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38, 39, 40]",0.27478376580172986,0,0,0,0,0,0,0,0,0.2651645066674163,0.07286290169903056
399,"[18, 19, 20, 21]",0.9940564635958395,0,0,0,0,0,0,0,0,-0.0037136256656653543,0.0036915535963300476
390,"[17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36]",0.4866810655147588,0,0,0,0,0,0,0,0,0.25078305423877767,0.12205136404997387
383,"[17, 18, 19, 20, 21]",0.9632829373650108,0,0,0,0,0,0,0,0,0.013168114434056855,0.012684619951596884
384,"[17, 18, 19, 20, 21, 22]",0.9294456443484521,0,0,0,0,0,0,0,0,0.03240883586455934,0.030122251332718578
385,"[17, 18, 19, 20, 21, 22, 28]",0.7984161267098632,0,0,0,0,0,0,0,0,0.12415682207164846,0.09912880898305122
386,"[17, 18, 19, 20, 21, 22, 28, 29]",0.7703383729301656,0,0,0,0,0,0,0,0,0.13458595443512056,0.10367672515880418
387,"[17, 18, 19, 20, 21, 22, 28, 29, 31]",0.734341252699784,0,0,0,0,0,0,0,0,0.15733113843729174,0.11553474528872396
388,"[17, 18, 19, 20, 21, 22, 28, 29, 31, 32]",0.251979841612671,0,0,0,0,0,0,0,0,-0.02418843319729891,0.006094997565914052
389,"[17, 18, 19, 20, 21, 22, 28, 29, 31, 35]",0.4866810655147588,0,0,0,0,0,0,0,0,0.25078305423877767,0.12205136404997387
391,"[17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37]",0.4377249820014399,0,0,0,0,0,0,0,0,0.2391904801462036,0.10469964861691274
381,"[17, 18, 19]",0.9654427645788337,0,0,0,0,0,0,0,0,0.011984707647277437,0.011570549283656618
392,"[17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38]",0.4132469402447804,0,0,0,0,0,0,0,0,0.232579224170541,0.09611265275298095
393,"[17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38, 39]",0.37365010799136067,0,0,0,0,0,0,0,0,0.23935253719028315,0.08943410136915547
394,"[17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38, 39, 40]",0.3182145428365731,0,0,0,0,0,0,0,0,0.2177329533549789,0.0692857922123115
395,"[17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38, 39, 40, 41]",0.29301655867530596,0,0,0,0,0,0,0,0,0.20077842703700088,0.058831403746623004
396,"[17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38, 39, 40, 41, 42]",0.2267818574514039,0,0,0,0,0,0,0,0,0.17976896194808967,0.040768339102698524
397,"[18, 19]",0.9962852897473997,0,0,0,0,0,0,0,0,-0.004897032452444772,0.004878841395786359
398,"[18, 19, 20]",0.9940564635958395,0,0,0,0,0,0,0,0,-0.0037136256656653543,0.0036915535963300476
382,"[17, 18, 19, 20]",0.9632829373650108,0,0,0,0,0,0,0,0,0.013168114434056855,0.012684619951596884
380,"[17, 18]",0.9690424766018718,0,0,0,0,0,0,0,0,0.010023813479536958,0.00971350103920572
362,"[15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 31, 35, 36, 37, 38, 39, 40, 41]",0.25149700598802394,0,0,0,0,0,0,0,0,0.24754081580428877,0.06225577403461154
370,"[16, 17, 18, 19, 20, 21, 22, 28, 29]",0.6400532268795742,0,0,0,0,0,0,0,0,0.1935076149625774,0.12385517338256785
363,"[16, 17]",0.9241516966067864,0,0,0,0,0,0,0,0,0.03381086759158203,0.03124637064850794
364,"[16, 17, 18]",0.7930805056553559,0,0,0,0,0,0,0,0,0.07439973757707441,0.05900498149825196
365,"[16, 17, 18, 19]",0.7904191616766467,0,0,0,0,0,0,0,0,0.07625243340479537,0.06027138448762269
366,"[16, 17, 18, 19, 20]",0.7884231536926147,0,0,0,0,0,0,0,0,0.07764998056691896,0.061221042562740496
367,"[16, 17, 18, 19, 20, 21]",0.7884231536926147,0,0,0,0,0,0,0,0,0.07764998056691896,0.061221042562740496
368,"[16, 17, 18, 19, 20, 21, 22]",0.7598137059214903,0,0,0,0,0,0,0,0,0.09846972721224212,0.07481864835421191
