,Pattern,Relative SUP,local_interest_11,local_criterion_11,local_interest_24,local_criterion_24,local_interest_28,local_criterion_28,local_interest_32,local_criterion_32
511,"[19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",0.6119402985074627,0,0,0,0,0,0,0.2288557213930349,0.14004603846439448
512,"[20, 21]",0.9900497512437811,0,0,0,0,0,0,0.007750193754843981,0.00767307739907439
513,"[20, 21, 22]",0.9900497512437811,0,0,0,0,0,0,0.007750193754843981,0.00767307739907439
514,"[20, 21, 22, 23]",0.9900497512437811,0,0,0,0,0,0,0.007750193754843981,0.00767307739907439
515,"[20, 21, 22, 23, 24]",0.9203980099502488,0,0,0,0,0,0,0.06669355923087261,0.0613846191925942
517,"[20, 21, 22, 23, 24, 25, 26]",0.9154228855721394,0,0,0,0,0,0,0.06581224313216538,0.060246033514022045
506,"[19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]",0.6218905472636815,0,0,0,0,0,0,0.2288557213930349,0.1423232098215391
518,"[20, 21, 22, 23, 24, 25, 26, 27]",0.9154228855721394,0,0,0,0,0,0,0.06581224313216538,0.060246033514022045
519,"[20, 21, 22, 23, 24, 25, 26, 27, 28]",0.8407960199004975,0,0,0,0,0,0,0.14009832494333085,0.11779411400707916
520,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",0.7661691542288557,0,0,0,0,0,0,0.16392065645796994,0.12559095071904164
521,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0.7661691542288557,0,0,0,0,0,0,0.16392065645796994,0.12559095071904164
522,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",0.7661691542288557,0,0,0,0,0,0,0.16392065645796994,0.12559095071904164
523,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.7164179104477612,0,0,0,0,0,0,0.2288557213930349,0.16395633771441304
524,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]",0.6218905472636815,0,0,0,0,0,0,0.2288557213930349,0.1423232098215391
525,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",0.6218905472636815,0,0,0,0,0,0,0.2288557213930349,0.1423232098215391
507,"[19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",0.6218905472636815,0,0,0,0,0,0,0.2288557213930349,0.1423232098215391
505,"[19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.7164179104477612,0,0,0,0,0,0,0.2288557213930349,0.16395633771441304
485,"[17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",0.625615763546798,0,0,0,0,0,0,0.17346107598619132,0.10851998349875024
494,"[19, 20, 21]",0.9900497512437811,0,0,0,0,0,0,0.007750193754843981,0.00767307739907439
