,Pattern,Relative SUP,global_dropout_interest,global_dropout_criterion
680,"[3, 6, 21]",0.2028368794326241,-0.12949434449771524,0.026266228742089757
696,"[3, 7, 12]",0.27375886524822696,-0.09516429130297822,0.026052068399255033
333,"[2, 3, 11]",0.3078014184397163,-0.0841420165758179,0.02589903205241487
1407,"[6, 8, 10]",0.3333333333333333,0.07715685803768682,0.02571895267922894
698,"[3, 7, 19]",0.2297872340425532,-0.111475939738979,0.025615747854914325
1973,"[9, 11]",0.3078014184397163,-0.08311391089329113,0.0255825796650272
327,"[2, 3, 5]",0.5163120567375886,-0.0491071589603151,0.025354618243339996
736,"[3, 9, 20]",0.20425531914893616,-0.12324016017749319,0.025172458249019883
1158,"[5, 6, 10]",0.3333333333333333,0.07532535620618498,0.025108452068728325
1197,"[5, 8, 10]",0.3333333333333333,0.07532535620618498,0.025108452068728325
395,"[2, 6, 7]",0.5134751773049645,0.04882071095378795,0.02506822321315069
766,"[3, 11, 12]",0.27375886524822696,-0.09151499697466052,0.025053041724977985
768,"[3, 11, 19]",0.2297872340425532,-0.10782664541066132,0.024777186605003026
137,"[1, 8, 10]",0.3333333333333333,0.0743199786050627,0.024773326201687568
98,"[1, 6, 10]",0.3333333333333333,0.0743199786050627,0.024773326201687568
1621,"[7, 9, 21]",0.2028368794326241,-0.12040007285117273,0.02442157506059248
328,"[2, 3, 6]",0.5134751773049645,-0.04727565712881328,0.024274876426426107
332,"[2, 3, 10]",0.3333333333333333,-0.07280757202243028,0.024269190674143425
77,"[1, 5, 10]",0.3333333333333333,0.07248847677356088,0.02416282559118696
374,"[2, 5, 7]",0.5134751773049645,0.046989209122286116,0.024127792485485917
349,"[2, 4]",0.5617021276595745,0.042256120223973015,0.02373535263644442
2020,"[9, 19, 21]",0.2028368794326241,-0.1169214561128875,0.023715983296656612
1978,"[9, 11, 21]",0.2028368794326241,-0.11675077852285502,0.023681363586905344
5,"[1, 2, 7]",0.5134751773049645,0.04598383152116383,0.023611556043491213
1410,"[6, 8, 13]",0.25673758865248225,0.09163904917439776,0.023527188511441127
840,"[3, 21, 26]",0.1375886524822695,-0.17073145789977706,0.023490711228763655
946,"[4, 7, 9]",0.451063829787234,-0.051765004216104096,0.02334932105066823
1161,"[5, 6, 13]",0.25673758865248225,0.08980754734289592,0.02305697314760874
1200,"[5, 8, 13]",0.25673758865248225,0.08980754734289592,0.02305697314760874
101,"[1, 6, 13]",0.25673758865248225,0.08880216974177364,0.02279885492661139
140,"[1, 8, 13]",0.25673758865248225,0.08880216974177364,0.02279885492661139
33,"[1, 3, 11]",0.3078014184397163,-0.07362648780624838,0.022662337381497727
880,"[3, 26]",0.1375886524822695,-0.16408492995867419,0.022576224405661555
635,"[3, 4, 19]",0.2297872340425532,-0.09789631289968363,0.02249532296418262
1409,"[6, 8, 12]",0.27375886524822696,0.08196338433026756,0.022438203086158355
654,"[3, 5, 11]",0.3078014184397163,-0.07262111020512609,0.022352880729804767
633,"[3, 4, 12]",0.27375886524822696,-0.08158466446368288,0.022334525165235174
80,"[1, 5, 13]",0.25673758865248225,0.08697066791027182,0.022328639562779005
742,"[3, 9, 26]",0.1375886524822695,-0.16216245876474022,0.022311714184652203
